rev_id,Yes-Labels,No-Labels,Total-Labels,Disagreement
37675,1.0,9.0,10,0.1111111111111111
89320,4.0,5.0,9,0.8
111032,2.0,8.0,10,0.25
128532,1.0,9.0,10,0.1111111111111111
155243,2.0,7.0,9,0.2857142857142857
249432,4.0,6.0,10,0.6666666666666666
290598,3.0,15.0,18,0.2
336654,1.0,18.0,19,0.05555555555555555
344567,1.0,15.0,16,0.06666666666666667
375422,2.0,8.0,10,0.25
388807,1.0,8.0,9,0.125
554005,4.0,15.0,19,0.26666666666666666
569192,3.0,16.0,19,0.1875
586452,1.0,8.0,9,0.125
622095,7.0,13.0,20,0.5384615384615384
633526,1.0,8.0,9,0.125
661509,1.0,8.0,9,0.125
680470,2.0,17.0,19,0.11764705882352941
694840,10.0,9.0,19,0.9
700512,2.0,17.0,19,0.11764705882352941
709074,1.0,9.0,10,0.1111111111111111
784353,2.0,8.0,10,0.25
801279,5.0,4.0,9,0.8
804607,1.0,9.0,10,0.1111111111111111
833825,3.0,7.0,10,0.42857142857142855
849920,1.0,18.0,19,0.05555555555555555
966578,1.0,19.0,20,0.05263157894736842
1064649,2.0,7.0,9,0.2857142857142857
1078839,1.0,9.0,10,0.1111111111111111
1133583,1.0,9.0,10,0.1111111111111111
1173977,3.0,6.0,9,0.5
1185345,2.0,18.0,20,0.1111111111111111
1221055,2.0,7.0,9,0.2857142857142857
1240138,3.0,6.0,9,0.5
1271243,1.0,8.0,9,0.125
1274893,1.0,18.0,19,0.05555555555555555
1319467,9.0,11.0,20,0.8181818181818182
1335953,1.0,18.0,19,0.05555555555555555
1342010,1.0,18.0,19,0.05555555555555555
1378881,1.0,8.0,9,0.125
1399397,3.0,16.0,19,0.1875
1445262,1.0,9.0,10,0.1111111111111111
1450441,8.0,2.0,10,0.25
1502668,4.0,5.0,9,0.8
1514095,4.0,13.0,17,0.3076923076923077
1571456,4.0,5.0,9,0.8
1681351,1.0,8.0,9,0.125
1688728,3.0,7.0,10,0.42857142857142855
1710587,5.0,15.0,20,0.3333333333333333
1739728,2.0,7.0,9,0.2857142857142857
1822867,2.0,17.0,19,0.11764705882352941
1842885,1.0,8.0,9,0.125
1870012,1.0,18.0,19,0.05555555555555555
1886077,1.0,9.0,10,0.1111111111111111
1958817,1.0,9.0,10,0.1111111111111111
2019031,3.0,16.0,19,0.1875
2127009,1.0,9.0,10,0.1111111111111111
2200466,2.0,18.0,20,0.1111111111111111
2205553,1.0,7.0,8,0.14285714285714285
2314562,2.0,8.0,10,0.25
2337410,1.0,9.0,10,0.1111111111111111
2339911,1.0,8.0,9,0.125
2434442,1.0,18.0,19,0.05555555555555555
2492647,1.0,18.0,19,0.05555555555555555
2530720,1.0,8.0,9,0.125
2644049,2.0,8.0,10,0.25
2702703,9.0,0.0,9,0.0
2727211,3.0,17.0,20,0.17647058823529413
2822026,1.0,9.0,10,0.1111111111111111
2823542,1.0,9.0,10,0.1111111111111111
2825604,1.0,17.0,18,0.058823529411764705
2930834,1.0,19.0,20,0.05263157894736842
2942923,1.0,8.0,9,0.125
2991403,1.0,19.0,20,0.05263157894736842
3113708,1.0,8.0,9,0.125
3132477,2.0,8.0,10,0.25
3148037,6.0,14.0,20,0.42857142857142855
3154173,3.0,7.0,10,0.42857142857142855
3156619,3.0,15.0,18,0.2
3224969,2.0,6.0,8,0.3333333333333333
3336752,1.0,9.0,10,0.1111111111111111
3336806,2.0,18.0,20,0.1111111111111111
3360621,2.0,8.0,10,0.25
3391540,1.0,9.0,10,0.1111111111111111
3494080,1.0,8.0,9,0.125
3525676,3.0,5.0,8,0.6
3568531,1.0,15.0,16,0.06666666666666667
3578859,1.0,9.0,10,0.1111111111111111
3592470,1.0,17.0,18,0.058823529411764705
3607710,1.0,8.0,9,0.125
3637110,1.0,9.0,10,0.1111111111111111
3661333,1.0,8.0,9,0.125
3686608,1.0,8.0,9,0.125
3720681,4.0,16.0,20,0.25
3734468,3.0,16.0,19,0.1875
3768454,1.0,8.0,9,0.125
3793165,1.0,9.0,10,0.1111111111111111
3798128,1.0,8.0,9,0.125
3805237,1.0,19.0,20,0.05263157894736842
3824980,3.0,7.0,10,0.42857142857142855
3897107,8.0,10.0,18,0.8
3912879,1.0,19.0,20,0.05263157894736842
3925539,4.0,16.0,20,0.25
3990296,1.0,8.0,9,0.125
4054247,1.0,18.0,19,0.05555555555555555
4117580,2.0,8.0,10,0.25
4126589,3.0,15.0,18,0.2
4132387,2.0,17.0,19,0.11764705882352941
4252057,2.0,8.0,10,0.25
4316076,1.0,9.0,10,0.1111111111111111
4322944,2.0,18.0,20,0.1111111111111111
4334457,4.0,6.0,10,0.6666666666666666
4342815,2.0,7.0,9,0.2857142857142857
4463018,1.0,9.0,10,0.1111111111111111
4520384,1.0,8.0,9,0.125
4530607,1.0,7.0,8,0.14285714285714285
4619883,1.0,8.0,9,0.125
4632658,9.0,1.0,10,0.1111111111111111
4705411,1.0,9.0,10,0.1111111111111111
4763903,2.0,8.0,10,0.25
4843236,2.0,7.0,9,0.2857142857142857
4864279,6.0,11.0,17,0.5454545454545454
4876796,2.0,7.0,9,0.2857142857142857
5085524,1.0,18.0,19,0.05555555555555555
5097249,2.0,17.0,19,0.11764705882352941
5107418,2.0,16.0,18,0.125
5108359,4.0,15.0,19,0.26666666666666666
5146601,1.0,8.0,9,0.125
5155366,1.0,7.0,8,0.14285714285714285
5165788,1.0,9.0,10,0.1111111111111111
5252559,1.0,9.0,10,0.1111111111111111
5262377,1.0,8.0,9,0.125
5320312,1.0,9.0,10,0.1111111111111111
5350726,1.0,9.0,10,0.1111111111111111
5414702,5.0,15.0,20,0.3333333333333333
5459395,1.0,17.0,18,0.058823529411764705
5571217,1.0,18.0,19,0.05555555555555555
5598366,1.0,9.0,10,0.1111111111111111
5603627,5.0,14.0,19,0.35714285714285715
5619479,1.0,18.0,19,0.05555555555555555
5623886,2.0,7.0,9,0.2857142857142857
5635120,1.0,16.0,17,0.0625
5646320,4.0,15.0,19,0.26666666666666666
5671785,2.0,6.0,8,0.3333333333333333
5766110,3.0,15.0,18,0.2
5838638,3.0,6.0,9,0.5
5840678,2.0,8.0,10,0.25
5857640,3.0,16.0,19,0.1875
5902358,1.0,9.0,10,0.1111111111111111
5909705,1.0,18.0,19,0.05555555555555555
6008216,1.0,8.0,9,0.125
6072317,1.0,8.0,9,0.125
6201487,12.0,6.0,18,0.5
6302861,2.0,8.0,10,0.25
6360046,1.0,9.0,10,0.1111111111111111
6368941,1.0,9.0,10,0.1111111111111111
6420997,1.0,17.0,18,0.058823529411764705
6473887,4.0,5.0,9,0.8
6485710,1.0,18.0,19,0.05555555555555555
6545332,10.0,0.0,10,0.0
6545351,7.0,3.0,10,0.42857142857142855
6552815,2.0,15.0,17,0.13333333333333333
6561426,3.0,7.0,10,0.42857142857142855
6683326,1.0,9.0,10,0.1111111111111111
6689996,1.0,17.0,18,0.058823529411764705
6738513,1.0,18.0,19,0.05555555555555555
6739098,2.0,8.0,10,0.25
6801519,1.0,9.0,10,0.1111111111111111
6813383,1.0,7.0,8,0.14285714285714285
6832933,2.0,17.0,19,0.11764705882352941
6901744,1.0,18.0,19,0.05555555555555555
6902391,1.0,9.0,10,0.1111111111111111
6984093,1.0,18.0,19,0.05555555555555555
7034125,1.0,9.0,10,0.1111111111111111
7068957,1.0,19.0,20,0.05263157894736842
7100783,1.0,18.0,19,0.05555555555555555
7132903,1.0,8.0,9,0.125
7189227,2.0,6.0,8,0.3333333333333333
7422051,2.0,7.0,9,0.2857142857142857
7423111,2.0,6.0,8,0.3333333333333333
7427711,1.0,9.0,10,0.1111111111111111
7586127,3.0,17.0,20,0.17647058823529413
7588842,3.0,17.0,20,0.17647058823529413
7826081,2.0,7.0,9,0.2857142857142857
7826518,1.0,8.0,9,0.125
7829616,2.0,8.0,10,0.25
7838899,1.0,17.0,18,0.058823529411764705
7871012,2.0,8.0,10,0.25
7914310,1.0,19.0,20,0.05263157894736842
7977970,8.0,2.0,10,0.25
7980480,2.0,8.0,10,0.25
8053756,2.0,18.0,20,0.1111111111111111
8096614,1.0,8.0,9,0.125
8126037,1.0,16.0,17,0.0625
8163533,2.0,7.0,9,0.2857142857142857
8175879,3.0,7.0,10,0.42857142857142855
8229236,1.0,8.0,9,0.125
8247331,1.0,18.0,19,0.05555555555555555
8260547,1.0,8.0,9,0.125
8271742,3.0,7.0,10,0.42857142857142855
8284251,7.0,10.0,17,0.7
8297471,2.0,8.0,10,0.25
8310740,5.0,4.0,9,0.8
8323109,2.0,7.0,9,0.2857142857142857
8323423,1.0,8.0,9,0.125
8336206,3.0,7.0,10,0.42857142857142855
8347684,3.0,6.0,9,0.5
8350378,1.0,9.0,10,0.1111111111111111
8351483,2.0,8.0,10,0.25
8354624,3.0,7.0,10,0.42857142857142855
8356071,2.0,6.0,8,0.3333333333333333
8357601,5.0,5.0,10,1.0
8357736,4.0,5.0,9,0.8
8359431,7.0,3.0,10,0.42857142857142855
8371531,1.0,8.0,9,0.125
8424530,2.0,8.0,10,0.25
8501105,2.0,8.0,10,0.25
8621412,4.0,5.0,9,0.8
8622992,3.0,6.0,9,0.5
8644708,1.0,19.0,20,0.05263157894736842
8647800,1.0,8.0,9,0.125
8651698,2.0,7.0,9,0.2857142857142857
8652342,1.0,7.0,8,0.14285714285714285
8660574,1.0,8.0,9,0.125
8708229,4.0,6.0,10,0.6666666666666666
8721576,1.0,9.0,10,0.1111111111111111
8723181,1.0,9.0,10,0.1111111111111111
8724028,9.0,1.0,10,0.1111111111111111
8724769,2.0,7.0,9,0.2857142857142857
8725515,3.0,7.0,10,0.42857142857142855
8725954,1.0,8.0,9,0.125
8726172,3.0,6.0,9,0.5
8726328,4.0,4.0,8,1.0
8727175,2.0,8.0,10,0.25
8727268,2.0,8.0,10,0.25
8740748,2.0,7.0,9,0.2857142857142857
8768929,4.0,6.0,10,0.6666666666666666
8771540,1.0,8.0,9,0.125
8772699,2.0,6.0,8,0.3333333333333333
8809377,1.0,9.0,10,0.1111111111111111
8841793,1.0,17.0,18,0.058823529411764705
8845700,9.0,1.0,10,0.1111111111111111
8845736,10.0,0.0,10,0.0
8845780,6.0,4.0,10,0.6666666666666666
8855349,1.0,9.0,10,0.1111111111111111
8855444,4.0,6.0,10,0.6666666666666666
8855554,2.0,8.0,10,0.25
8875274,4.0,33.0,37,0.12121212121212122
8876353,4.0,16.0,20,0.25
8894790,2.0,18.0,20,0.1111111111111111
8898827,3.0,13.0,16,0.23076923076923078
8898868,4.0,6.0,10,0.6666666666666666
8898892,3.0,6.0,9,0.5
8899112,17.0,13.0,30,0.7647058823529411
8899166,4.0,6.0,10,0.6666666666666666
8925594,6.0,4.0,10,0.6666666666666666
8942766,1.0,9.0,10,0.1111111111111111
8947667,1.0,9.0,10,0.1111111111111111
8971984,2.0,7.0,9,0.2857142857142857
8972653,8.0,21.0,29,0.38095238095238093
8997245,3.0,7.0,10,0.42857142857142855
9005225,1.0,8.0,9,0.125
9021595,2.0,7.0,9,0.2857142857142857
9081074,1.0,17.0,18,0.058823529411764705
9086510,2.0,18.0,20,0.1111111111111111
9102140,2.0,18.0,20,0.1111111111111111
9109054,1.0,18.0,19,0.05555555555555555
9142673,1.0,19.0,20,0.05263157894736842
9151537,10.0,20.0,30,0.5
9185986,4.0,15.0,19,0.26666666666666666
9220314,2.0,18.0,20,0.1111111111111111
9260929,1.0,9.0,10,0.1111111111111111
9273851,2.0,8.0,10,0.25
9299458,1.0,9.0,10,0.1111111111111111
9308556,6.0,4.0,10,0.6666666666666666
9311712,2.0,7.0,9,0.2857142857142857
9338953,1.0,9.0,10,0.1111111111111111
9339988,2.0,7.0,9,0.2857142857142857
9341657,5.0,14.0,19,0.35714285714285715
9362147,3.0,7.0,10,0.42857142857142855
9373666,5.0,5.0,10,1.0
9374760,1.0,17.0,18,0.058823529411764705
9392747,10.0,0.0,10,0.0
9396830,9.0,1.0,10,0.1111111111111111
9401961,2.0,8.0,10,0.25
9426862,1.0,17.0,18,0.058823529411764705
9436902,4.0,5.0,9,0.8
9483497,1.0,8.0,9,0.125
9521749,1.0,9.0,10,0.1111111111111111
9521926,3.0,6.0,9,0.5
9534106,2.0,8.0,10,0.25
9534738,2.0,7.0,9,0.2857142857142857
9535373,1.0,9.0,10,0.1111111111111111
9536253,1.0,7.0,8,0.14285714285714285
9565024,1.0,19.0,20,0.05263157894736842
9581608,4.0,4.0,8,1.0
9604432,5.0,5.0,10,1.0
9621061,1.0,7.0,8,0.14285714285714285
9664203,9.0,1.0,10,0.1111111111111111
9664254,9.0,0.0,9,0.0
9666832,1.0,9.0,10,0.1111111111111111
9676905,1.0,19.0,20,0.05263157894736842
9678610,2.0,8.0,10,0.25
9678940,4.0,6.0,10,0.6666666666666666
9679297,9.0,1.0,10,0.1111111111111111
9680071,3.0,7.0,10,0.42857142857142855
9681754,2.0,8.0,10,0.25
9714891,1.0,9.0,10,0.1111111111111111
9716206,2.0,8.0,10,0.25
9722653,4.0,6.0,10,0.6666666666666666
9725692,5.0,3.0,8,0.6
9735893,12.0,15.0,27,0.8
9761129,1.0,9.0,10,0.1111111111111111
9806726,4.0,5.0,9,0.8
9810672,1.0,9.0,10,0.1111111111111111
9815844,1.0,8.0,9,0.125
9818373,1.0,9.0,10,0.1111111111111111
9823997,1.0,9.0,10,0.1111111111111111
9858487,3.0,7.0,10,0.42857142857142855
9862371,2.0,7.0,9,0.2857142857142857
9875604,2.0,8.0,10,0.25
9885273,2.0,17.0,19,0.11764705882352941
9916585,5.0,3.0,8,0.6
