rev_id,Yes-Labels,No-Labels,Total-Labels,Disagreement
89320,4.0,5.0,9,0.8
155243,2.0,7.0,9,0.2857142857142857
192579,1.0,7.0,8,0.14285714285714285
249432,2.0,8.0,10,0.25
290598,3.0,15.0,18,0.2
375422,2.0,8.0,10,0.25
398923,1.0,9.0,10,0.1111111111111111
554005,3.0,16.0,19,0.1875
569192,1.0,18.0,19,0.05555555555555555
622095,6.0,14.0,20,0.42857142857142855
633526,1.0,8.0,9,0.125
661509,1.0,8.0,9,0.125
680470,1.0,18.0,19,0.05555555555555555
694840,7.0,12.0,19,0.5833333333333334
801279,5.0,4.0,9,0.8
804607,1.0,9.0,10,0.1111111111111111
833825,1.0,9.0,10,0.1111111111111111
849920,2.0,17.0,19,0.11764705882352941
916927,1.0,18.0,19,0.05555555555555555
1064649,1.0,8.0,9,0.125
1078839,2.0,8.0,10,0.25
1126594,1.0,18.0,19,0.05555555555555555
1133583,1.0,9.0,10,0.1111111111111111
1173977,2.0,7.0,9,0.2857142857142857
1185345,1.0,19.0,20,0.05263157894736842
1221055,2.0,7.0,9,0.2857142857142857
1240138,3.0,6.0,9,0.5
1250844,1.0,18.0,19,0.05555555555555555
1271243,2.0,7.0,9,0.2857142857142857
1274893,1.0,18.0,19,0.05555555555555555
1319467,8.0,12.0,20,0.6666666666666666
1378881,1.0,8.0,9,0.125
1399397,2.0,17.0,19,0.11764705882352941
1445262,2.0,8.0,10,0.25
1450441,4.0,6.0,10,0.6666666666666666
1502668,3.0,6.0,9,0.5
1511787,1.0,17.0,18,0.058823529411764705
1514095,1.0,16.0,17,0.0625
1571456,1.0,8.0,9,0.125
1688728,3.0,7.0,10,0.42857142857142855
1710587,5.0,15.0,20,0.3333333333333333
1739728,1.0,8.0,9,0.125
1766005,1.0,17.0,18,0.058823529411764705
1822867,1.0,18.0,19,0.05555555555555555
1842885,2.0,7.0,9,0.2857142857142857
1958817,1.0,9.0,10,0.1111111111111111
2019031,1.0,18.0,19,0.05555555555555555
2200466,4.0,16.0,20,0.25
2205553,1.0,7.0,8,0.14285714285714285
2314562,1.0,9.0,10,0.1111111111111111
2336156,2.0,17.0,19,0.11764705882352941
2337410,1.0,9.0,10,0.1111111111111111
2339911,1.0,8.0,9,0.125
2434442,1.0,18.0,19,0.05555555555555555
2492647,1.0,18.0,19,0.05555555555555555
2606162,1.0,18.0,19,0.05555555555555555
2628839,1.0,8.0,9,0.125
2637993,1.0,16.0,17,0.0625
2644049,2.0,8.0,10,0.25
2702703,9.0,0.0,9,0.0
2727211,2.0,18.0,20,0.1111111111111111
2807850,1.0,9.0,10,0.1111111111111111
2809532,1.0,8.0,9,0.125
2822026,1.0,9.0,10,0.1111111111111111
2825604,1.0,17.0,18,0.058823529411764705
2930834,1.0,19.0,20,0.05263157894736842
2942923,1.0,8.0,9,0.125
2991403,1.0,19.0,20,0.05263157894736842
3043866,1.0,18.0,19,0.05555555555555555
3132477,1.0,9.0,10,0.1111111111111111
3148037,6.0,14.0,20,0.42857142857142855
3154173,2.0,8.0,10,0.25
3156619,2.0,16.0,18,0.125
3218970,1.0,18.0,19,0.05555555555555555
3224969,2.0,6.0,8,0.3333333333333333
3360621,1.0,9.0,10,0.1111111111111111
3494080,1.0,8.0,9,0.125
3525676,1.0,7.0,8,0.14285714285714285
3568531,2.0,14.0,16,0.14285714285714285
3578859,2.0,8.0,10,0.25
3592470,1.0,17.0,18,0.058823529411764705
3604206,1.0,9.0,10,0.1111111111111111
3607710,1.0,8.0,9,0.125
3637110,2.0,8.0,10,0.25
3720681,2.0,18.0,20,0.1111111111111111
3734468,3.0,16.0,19,0.1875
3793165,1.0,9.0,10,0.1111111111111111
3798128,1.0,8.0,9,0.125
3824980,3.0,7.0,10,0.42857142857142855
3897107,7.0,11.0,18,0.6363636363636364
3913164,1.0,18.0,19,0.05555555555555555
3925539,2.0,18.0,20,0.1111111111111111
3990296,1.0,8.0,9,0.125
4054247,1.0,18.0,19,0.05555555555555555
4094616,1.0,18.0,19,0.05555555555555555
4117580,2.0,8.0,10,0.25
4126589,2.0,16.0,18,0.125
4132387,1.0,18.0,19,0.05555555555555555
4252057,1.0,9.0,10,0.1111111111111111
4322944,2.0,18.0,20,0.1111111111111111
4334457,2.0,8.0,10,0.25
4342815,2.0,7.0,9,0.2857142857142857
4463018,1.0,9.0,10,0.1111111111111111
4480909,1.0,19.0,20,0.05263157894736842
4530607,1.0,7.0,8,0.14285714285714285
4600597,1.0,17.0,18,0.058823529411764705
4619883,3.0,6.0,9,0.5
4632658,9.0,1.0,10,0.1111111111111111
4790512,1.0,7.0,8,0.14285714285714285
4843236,2.0,7.0,9,0.2857142857142857
4864279,6.0,11.0,17,0.5454545454545454
4876796,1.0,8.0,9,0.125
4898172,1.0,9.0,10,0.1111111111111111
5085524,1.0,18.0,19,0.05555555555555555
5097249,1.0,18.0,19,0.05555555555555555
5107418,1.0,17.0,18,0.058823529411764705
5108359,3.0,16.0,19,0.1875
5155366,1.0,7.0,8,0.14285714285714285
5252559,1.0,9.0,10,0.1111111111111111
5262377,1.0,8.0,9,0.125
5320312,1.0,9.0,10,0.1111111111111111
5387066,1.0,8.0,9,0.125
5414702,2.0,18.0,20,0.1111111111111111
5417906,1.0,17.0,18,0.058823529411764705
5459395,1.0,17.0,18,0.058823529411764705
5571217,1.0,18.0,19,0.05555555555555555
5603627,6.0,13.0,19,0.46153846153846156
5619479,1.0,18.0,19,0.05555555555555555
5623886,1.0,8.0,9,0.125
5635120,1.0,16.0,17,0.0625
5643793,1.0,17.0,18,0.058823529411764705
5646320,3.0,16.0,19,0.1875
5671785,1.0,7.0,8,0.14285714285714285
5766110,2.0,16.0,18,0.125
5838638,2.0,7.0,9,0.2857142857142857
