rev_id,Yes-Labels,No-Labels,Total-Labels,Disagreement
2232.0,1,9,10,0.1111111111111111
28959.0,2,8,10,0.25
35367.0,1,9,10,0.1111111111111111
37330.0,3,7,10,0.42857142857142855
37346.0,1,9,10,0.1111111111111111
37675.0,2,8,10,0.25
91460.0,1,9,10,0.1111111111111111
109914.0,1,9,10,0.1111111111111111
114890.0,1,9,10,0.1111111111111111
132491.0,1,9,10,0.1111111111111111
225277.0,1,9,10,0.1111111111111111
250290.0,1,9,10,0.1111111111111111
258303.0,1,9,10,0.1111111111111111
279420.0,1,9,10,0.1111111111111111
285223.0,1,9,10,0.1111111111111111
297866.0,1,9,10,0.1111111111111111
360594.0,2,8,10,0.25
369632.0,1,9,10,0.1111111111111111
452612.0,1,9,10,0.1111111111111111
460704.0,3,8,11,0.375
482033.0,2,8,10,0.25
529575.0,1,9,10,0.1111111111111111
570342.0,1,9,10,0.1111111111111111
581297.0,1,9,10,0.1111111111111111
593987.0,2,8,10,0.25
597212.0,6,4,10,0.6666666666666666
608166.0,2,8,10,0.25
623718.0,1,9,10,0.1111111111111111
630630.0,1,9,10,0.1111111111111111
639419.0,1,9,10,0.1111111111111111
659391.0,2,8,10,0.25
661509.0,1,9,10,0.1111111111111111
672149.0,1,9,10,0.1111111111111111
672191.0,1,9,10,0.1111111111111111
673906.0,1,9,10,0.1111111111111111
682829.0,5,5,10,1.0
707010.0,1,9,10,0.1111111111111111
712490.0,1,9,10,0.1111111111111111
732895.0,1,9,10,0.1111111111111111
749900.0,1,9,10,0.1111111111111111
757206.0,1,9,10,0.1111111111111111
761965.0,1,9,10,0.1111111111111111
773674.0,2,8,10,0.25
782604.0,2,8,10,0.25
783481.0,4,6,10,0.6666666666666666
785036.0,1,9,10,0.1111111111111111
787425.0,3,7,10,0.42857142857142855
789508.0,2,8,10,0.25
790462.0,1,9,10,0.1111111111111111
820504.0,1,9,10,0.1111111111111111
856388.0,1,9,10,0.1111111111111111
857940.0,1,9,10,0.1111111111111111
876815.0,1,9,10,0.1111111111111111
907008.0,1,9,10,0.1111111111111111
981476.0,2,8,10,0.25
986199.0,2,8,10,0.25
1027666.0,1,9,10,0.1111111111111111
1064037.0,2,8,10,0.25
1133583.0,3,7,10,0.42857142857142855
1139051.0,1,9,10,0.1111111111111111
1146485.0,1,9,10,0.1111111111111111
1171026.0,2,8,10,0.25
1182442.0,1,9,10,0.1111111111111111
1185061.0,1,9,10,0.1111111111111111
1220248.0,1,9,10,0.1111111111111111
1229123.0,1,9,10,0.1111111111111111
1238726.0,1,9,10,0.1111111111111111
1245501.0,1,9,10,0.1111111111111111
1254306.0,2,8,10,0.25
1266286.0,6,4,10,0.6666666666666666
1274199.0,1,9,10,0.1111111111111111
1290459.0,1,9,10,0.1111111111111111
1294384.0,4,6,10,0.6666666666666666
1305406.0,3,7,10,0.42857142857142855
1311822.0,1,9,10,0.1111111111111111
1314902.0,2,8,10,0.25
1332551.0,1,9,10,0.1111111111111111
1337346.0,1,9,10,0.1111111111111111
1347368.0,1,9,10,0.1111111111111111
1354074.0,1,9,10,0.1111111111111111
1455567.0,1,9,10,0.1111111111111111
1502668.0,7,1,8,0.14285714285714285
1522602.0,1,9,10,0.1111111111111111
1557225.0,1,12,13,0.08333333333333333
1585779.0,1,9,10,0.1111111111111111
1624822.0,2,8,10,0.25
1626490.0,1,9,10,0.1111111111111111
1629096.0,2,8,10,0.25
1630414.0,1,9,10,0.1111111111111111
1674898.0,3,7,10,0.42857142857142855
1680287.0,1,9,10,0.1111111111111111
1684735.0,1,9,10,0.1111111111111111
1686251.0,1,9,10,0.1111111111111111
1697540.0,1,9,10,0.1111111111111111
1735419.0,1,9,10,0.1111111111111111
1739728.0,4,6,10,0.6666666666666666
1774274.0,1,9,10,0.1111111111111111
1822506.0,3,7,10,0.42857142857142855
1851273.0,2,8,10,0.25
1890555.0,1,9,10,0.1111111111111111
1900616.0,2,8,10,0.25
1985687.0,1,9,10,0.1111111111111111
2084821.0,4,6,10,0.6666666666666666
2120624.0,2,8,10,0.25
2137625.0,2,8,10,0.25
2145938.0,3,8,11,0.375
2149180.0,2,8,10,0.25
2187425.0,8,2,10,0.25
2201361.0,2,8,10,0.25
2249149.0,1,9,10,0.1111111111111111
2255619.0,1,9,10,0.1111111111111111
2277799.0,1,9,10,0.1111111111111111
2318896.0,3,7,10,0.42857142857142855
2337738.0,1,9,10,0.1111111111111111
2372202.0,1,9,10,0.1111111111111111
2405082.0,1,9,10,0.1111111111111111
2452675.0,1,9,10,0.1111111111111111
2456044.0,2,8,10,0.25
2457254.0,1,9,10,0.1111111111111111
2531936.0,1,9,10,0.1111111111111111
2545090.0,2,8,10,0.25
2615801.0,2,8,10,0.25
2639885.0,1,9,10,0.1111111111111111
2681549.0,1,9,10,0.1111111111111111
2700088.0,1,9,10,0.1111111111111111
2702368.0,1,9,10,0.1111111111111111
2731564.0,1,9,10,0.1111111111111111
2740772.0,1,9,10,0.1111111111111111
2741341.0,2,8,10,0.25
2776726.0,1,9,10,0.1111111111111111
2795559.0,3,7,10,0.42857142857142855
2822029.0,3,7,10,0.42857142857142855
2866758.0,1,9,10,0.1111111111111111
2876112.0,1,9,10,0.1111111111111111
2878618.0,1,9,10,0.1111111111111111
2924314.0,1,9,10,0.1111111111111111
2931317.0,1,9,10,0.1111111111111111
2943219.0,2,8,10,0.25
2943468.0,2,8,10,0.25
2955662.0,2,8,10,0.25
2972894.0,1,9,10,0.1111111111111111
3005589.0,2,8,10,0.25
3123828.0,1,9,10,0.1111111111111111
3129678.0,6,4,10,0.6666666666666666
3139001.0,2,8,10,0.25
3194749.0,1,9,10,0.1111111111111111
3195993.0,3,7,10,0.42857142857142855
3197740.0,1,9,10,0.1111111111111111
3206615.0,2,8,10,0.25
3320767.0,1,9,10,0.1111111111111111
3332539.0,1,9,10,0.1111111111111111
3333013.0,1,9,10,0.1111111111111111
3346831.0,1,9,10,0.1111111111111111
3350617.0,4,6,10,0.6666666666666666
3405013.0,1,9,10,0.1111111111111111
3427333.0,6,4,10,0.6666666666666666
3512261.0,1,9,10,0.1111111111111111
3531359.0,4,6,10,0.6666666666666666
3569538.0,3,7,10,0.42857142857142855
3578859.0,2,8,10,0.25
3634595.0,3,7,10,0.42857142857142855
3642824.0,1,9,10,0.1111111111111111
3663314.0,1,9,10,0.1111111111111111
3665348.0,5,5,10,1.0
3674438.0,3,7,10,0.42857142857142855
